md5,AntiVir,AVG,Comodo,F-Secure,Kaspersky,McAFee,Microsoft,Sophos,Symantec
4c685036e257030b7cf68dcd2db3f080,0,0,1,0,0,0,0,0,0
4c921b9925937e2d5efc2952aff82df7,0,0,1,0,0,0,0,0,0
4cb811ab53c1f4a1bf8680f5608e1e64,0,0,0,0,0,0,0,0,1
4cc3b1e1b11d695d6529caa0962d1551,0,0,0,0,0,0,0,0,1
4cd931c2ecf5f0ea738bda393a2d783a,0,0,0,0,0,0,0,0,1
4d4c2729b8aa56e70eaf9ef84e9d5d3d,0,0,1,0,0,0,0,0,0
4d4da8301739909a1679aee35d49e303,0,0,1,0,0,0,0,0,0
4d56562a6019c05c592b9681e9ca2737,0,0,1,0,0,0,0,0,0
4db6dca8c8a2832fae20702584bb9808,0,0,1,0,0,0,0,0,0
4dcdb7c4b033d1450849266651094049,0,0,1,0,0,0,0,0,0
4ddfe429dd82f855b9e3819e7fe8d056,0,0,1,0,0,0,0,0,0
4de9c77a09c8c0a86a80fe84705c795e,0,0,1,0,0,0,0,0,0
4dedd737d500edaef8ba7e6dcb63f3b3,0,0,2,0,0,0,0,0,1
4df00987ef28706149dee6078d6655fc,0,0,2,0,0,0,0,0,1
4dfb752ecc2baa400400a4463c27d9bb,0,0,0,0,0,0,0,0,1
4e1939db785f0b38655c1f499e5c0f4e,0,0,0,0,0,0,0,0,1
4e7d70289836ba97bb785a1cca6c4300,0,0,1,0,0,0,0,0,0
4e815753e69eb0ac7a5c8d1a484f5de1,0,0,1,0,0,0,0,0,0
4f1f9875c719075fd681dc76d79475bb,0,0,1,0,0,0,0,0,0
4f755c95499e044866383d30a62a507d,0,0,1,0,0,0,0,0,0
5010e808c2795fffe26304a023e8ded3,0,31,0,28,31,31,31,31,0
5049ba1448ccbc36e30c2bf0bb72ce14,0,0,0,0,0,0,0,0,1
51bcec561e0cafca4444ad88949a8396,0,0,0,0,0,0,0,1,0
524ccd72f3e7e889d1e10f608ce83559,0,0,1,0,0,0,0,0,0
524ea77366478d519fe0f10d805d929d,0,0,1,0,0,0,0,0,0
5281001fa087cc8e48524571e263cdd4,0,0,0,0,0,0,0,0,1
52880da17ca7306d16befc5fd2a8dd51,0,0,0,0,0,0,0,0,1
53a07386bfb9621da448965410b8c2c3,0,0,1,0,0,0,0,0,0
53c0e47b8a730b6b9f5cf4dd89dc3db0,0,0,1,0,0,0,0,0,0
53cf6d5c15d7203f169612ca6a38002b,0,0,1,0,0,0,0,0,0
53d59e26d6445ead45d7c74a63abbb75,0,0,1,0,0,0,0,0,0
5404eb45ecfbc8714da2c2c73c5f9cc8,0,0,1,0,0,0,0,0,0
540bac311500047ee755e0661dda418d,0,0,0,0,1,0,0,0,0
54b372d33b60f59a36ae5a86b4fb5e6e,0,0,0,0,0,0,0,0,1
54d8d181e73231fbcad0d4bd4872c0d0,0,0,0,0,0,0,0,0,1
54d998bf27daf828f1e7e02c184ad1b7,0,0,0,0,0,0,0,0,1
551f430a0551f53f5f8c8be9ce820e2d,0,0,1,0,0,0,0,0,0
55ee25ea8a059994c9f1f672228171b6,0,0,1,0,0,0,0,0,0
55f74bb3493ffe272d65173426892291,0,0,1,0,0,0,0,0,0
57d16cfaa22ed7352f6c61c1b94ce880,0,31,0,27,31,31,31,31,0
580c735913c96804e1d020a148ea2cba,0,0,1,0,0,0,0,0,0
580e9fcc24fddf6b9d90285f4f25a757,0,0,1,0,0,0,0,0,0
581407f8e8843ef294538ac53a9c59ad,0,0,1,0,0,0,0,0,0
58413844ad501c0fb513e0031dade4f4,0,0,1,0,0,0,0,0,0
58a4a4bbba4d75dbc6c6c7c9b439955d,0,0,1,0,0,0,0,0,0
58b007a5ac13295896afb1252f69355d,0,0,1,0,0,0,0,0,0
58cecb4a00d3f0ebd56e7675c17e12b2,0,0,1,0,0,0,0,0,0
58e4c59196a34c742d1e595ed6c7976a,0,0,1,0,0,0,0,0,0
5939ccf56fa16450f633eeb1c8bc0592,0,0,1,0,0,0,0,1,0
5949053905efad09ea42402b71845281,0,0,1,0,0,0,0,0,0
595673fac780251f8083e688c7c381cd,0,0,1,0,0,0,0,0,0
595f4670101426db86b4bc651acd3547,0,0,1,0,0,0,0,0,0
596479fe00cd1b78d189835edd073e68,0,0,0,0,0,0,0,1,0
59b47801f7552136939c6aaedc28d59f,0,0,1,0,0,0,0,0,0
59b610740936009775af44919c08ca4f,0,0,0,0,0,0,0,0,1
5a396a5e987529382769e4a222f5965e,0,0,0,0,0,0,0,1,0
5a4ca51d535094283b4385727c117bcf,0,31,0,28,31,31,31,31,0
5aec43dd6ebebc2663aa2cc1e387098f,0,0,0,0,0,0,0,0,1
5bfa87b8b4dfa273093ccba65890d3e4,31,0,0,0,31,31,31,31,0
5c2fa643b73edf7f3930d5796168fbfe,0,0,0,0,0,0,31,0,0
5c4a8b9891b2dd71d8df0f290ce416b9,0,0,1,0,0,0,0,0,0
5c51db9cb5a70749d78099b49b4675d3,0,0,1,0,0,0,0,0,0
5d8cfc6bdf137c263a799518c172a542,0,0,1,0,0,0,0,0,0
5d90d4b40e91072cbaa908fe401792ad,0,0,1,0,0,0,0,0,0
5dfda23e5d5e2a40c8c21f64729845d1,0,31,0,0,31,31,31,31,0
5f27b4d5669aac89b2468620643119ad,0,0,1,0,0,0,0,0,0
5f29ff8ead96c7ec23d54f10078dbe60,0,0,1,0,2,0,0,0,0
5f309968b776636424adbc38a412f99e,0,0,1,0,0,0,0,0,0
60234656b5bdd9899a72dee44090d67d,0,0,0,0,1,0,0,0,0
607a710f446de466fcb3be1e5c189c71,0,0,1,0,0,0,0,0,0
611ef1f93e2d92ff0ef502b3bf80012b,0,0,1,0,0,0,0,0,0
61387980d7def273b3399525dc3794e2,0,0,1,0,0,0,0,0,0
61e10e953f19d3469f6e3395e22bdda5,0,0,1,0,0,0,0,0,0
6380f8c47ad52f495932c81208afa1f6,0,31,0,25,31,31,31,31,0
6553a159fd06d01d5638fe2e95cce53e,0,0,1,0,0,0,0,0,0
6782f20fac49aebed47d883e5292180e,0,0,1,0,0,0,0,0,0
67b5b816f94ff132ff05d0964a532c39,0,31,0,0,31,31,31,31,0
683025012c02c7b9c04a7fb9232ea9ad,0,0,1,0,0,0,0,0,0
6887cb1517ab27f664d482668dc1ef6f,0,0,1,0,0,0,0,0,0
691a2937aae17e35725402e4699d642c,0,0,1,0,0,0,0,0,0
69228852112c5bb6a091ca4551125772,0,0,1,0,0,0,0,0,0
69b7a8b84c21486950e91b6ae7d53afc,0,0,1,0,0,0,0,0,0
6c6772ecac6220aa56316473178a10b6,0,0,1,0,0,0,0,0,0
6c68f43c548bebd24550fe2b2d07ae77,0,0,1,0,0,0,0,0,0
6d191afc7e6ba0dce376ebf92cd0f98e,0,0,1,0,0,0,0,0,0
6d6e14af77ae6ba7c7233896a46d251f,0,0,1,0,0,0,0,0,0
6dca4bf9a5529b25fc4b21e1d2e92491,0,31,0,27,31,31,31,31,0
6e3e130827e19c82302682caf9518958,0,0,0,0,0,0,31,0,0
6f8284a2990f504995948ab458779ce0,0,0,1,0,0,0,0,0,0
6fbf32374b5e4d9b3a6e6f28a219bcec,0,29,0,26,30,29,30,30,0
6fc43ceaff04bdc9dd8a9aa96db3f3d6,0,0,1,0,0,0,0,0,0
6fc66227f3f7c6d776eeb3cdeb6e2092,0,0,1,0,0,0,0,0,0
6fcf1f7ff4e39cf2696e843a50c9a083,0,0,1,0,0,0,0,0,0
6ff1d623c37e468c98082e2ff47f72f2,0,0,1,0,0,0,0,0,0
7141633abb85db716105e7ab89804c86,0,0,1,0,0,0,0,0,0
714e1791be8ea95813c465e0a0d50cd4,0,0,1,0,0,0,0,0,0
716840409c7f0f9f14f5306bfd80d968,0,0,1,0,0,0,0,0,0
73b1e3067e6c46b61862f15e02d82d29,0,0,1,0,0,0,0,0,0
74473505ef968e2f8cd764d9af12adb2,0,0,2,0,0,0,0,0,0
746413976f56dbf34ec18dc044c7ecea,0,0,0,0,1,0,0,0,0
749c6e2c79da7d6b072909ad8cfdd035,0,0,1,0,0,0,0,0,0
767237342978a7f843235a89f8de03a2,0,0,0,0,30,0,29,0,0
783faa1ae7869adf1a156e43b19dc920,30,0,0,0,0,0,0,0,0
7867de13bf22a7f3e3559044053e33e7,0,0,1,0,0,0,0,0,0
78f2c429414cf802011ba968d6a9260a,0,0,1,0,0,0,0,0,0
797ea7cc186a9c82a17150e8bbde5ab3,0,0,1,0,0,0,0,0,0
7a02b8f094e69673d1c7a6fd5df6f1ee,0,0,1,0,0,0,0,0,0
7a02f36cd3bca0236c61e9a58abbca39,0,0,1,0,0,0,0,0,0
7a170fa2fcd8fd36f2f0ef7962a7264b,0,0,1,0,0,0,0,0,0
7c84915a299f4237b7994c634668f676,0,0,1,0,0,0,0,0,0
7cdefa998d4744b099cae67074001645,0,0,1,0,0,0,0,0,0
7d4a3f04adfdbab866cfc73c76cd16c2,0,0,0,0,0,0,0,0,1
7d4a9b9f1314fdf88b5a2c8b2e6abbc1,0,0,0,0,0,0,0,0,1
7d578f0f84af25aa02ee174d2d9b0ff2,0,0,0,0,0,0,0,0,1
7d69e69c2aa1379ff76cde37af27bca6,0,0,0,0,0,0,0,0,1
7d94879297c161d92872d1072c8bed10,0,0,0,0,0,0,0,0,1
7e0ad3cdde1d36de8e5eaa1b41119fee,0,0,2,0,0,0,0,0,0
7e3ce739f2a03c89499c3581482a6cae,0,0,2,0,0,0,0,0,0
7eea00e916bdf9e94507ffdf7de8fd6f,0,0,1,0,0,0,0,0,0
7eec120adc880d72f05d8557ffee7d3a,0,0,1,0,0,0,0,0,0
804d14eab744981e32f11c14753d3e7c,0,0,1,0,0,0,0,0,1
805145c2b612f4fc237b44a690e4d3ae,0,0,1,0,0,0,0,0,0
8083ece7b5ed9cbd4693792ad1a0e759,0,0,1,0,0,0,0,0,0
8128f4a8694dd6866d49915e8c65bdc9,0,0,1,0,0,0,0,0,0
81cee738f9da947172c1977cd67d69d7,0,0,1,0,0,0,0,0,0
81d30152fc95f08935ed4f59982f944b,0,0,1,0,0,0,0,0,0
8245cc7118d1a02dc945b92e080eabbc,0,0,1,0,0,0,0,0,0
824d88bc2e1618eb9ef0a9c2ecd69f38,0,0,2,0,0,0,0,0,0
825166b69861d6b3544d2e6143e08df9,0,0,1,0,0,0,0,0,0
82669de003c7ab13df0797079b87faa1,0,0,1,0,0,0,0,0,0
82d90c4f9d4731a02ca51af05e525adc,0,0,1,0,0,0,0,0,0
834dd9c5985f074abe9919fefec95cf2,0,0,1,0,0,0,0,0,0
834fe8c5ece7f1ede09d85cfc99c21ac,0,0,2,0,0,0,0,0,0
835612a9014d28d837c93e9e647745fe,0,0,1,0,0,0,0,0,0
841196be3fd3510b99049598906af7b9,0,0,1,0,0,0,0,0,0
85aa313919c3402dd92dd41df8feecf6,0,0,0,0,1,0,0,0,0
85cab942820518444ff15fcb0f840f81,0,0,1,0,0,0,0,0,0
86af3b2df0a55d1215b9e4ab519af212,0,0,2,0,0,0,0,0,0
871481d7f047f3884e19f1421ee4cb67,0,0,1,0,0,0,0,0,0
874c19ac221b3ec179dcba8b6810007f,0,0,0,1,0,0,0,0,0
876c487dc3f004239557b941f5bd148f,0,0,1,0,0,0,0,0,0
881113778921cb43aeca27c6f526e9f4,0,0,1,0,0,0,0,0,0
89bb885f9f342af49be5de323bd39473,0,0,1,0,0,0,0,0,0
8a13155193af89eeed22e77f9fca91de,0,0,1,0,0,0,0,0,0
8a383ef45f8e0d52cf87d5b880bd8ec0,0,0,1,0,0,0,0,0,0
8adaf7b431b9f05ff8189c4766213ba7,0,0,1,0,0,0,0,0,0
8b031607b80fb7977e0698e548b7965e,0,0,1,0,0,0,0,0,0
8b1a7f6bbcfff729aa3330339d33ba86,0,0,1,0,0,0,0,0,0
8b1b043a58045c6d79fee11411e7cdda,0,29,0,20,30,30,29,29,0
8b44030d6ad802c205a45180214a52ca,0,0,1,0,0,0,0,0,0
8b48f59fb263b1b3ed5f9f2a8cd8fd26,0,30,1,25,0,0,30,0,28
8c7b63d78b7d9515243e3b45e2229b40,0,0,1,0,0,0,0,0,0
8d710160763ecce579591d1b6afaf310,0,0,1,0,0,0,0,0,0
8eb62e64456baf6625a79d63bda58b3d,0,0,1,0,0,0,0,0,0
8fa90989a441927a12561112f9389d10,0,0,0,0,0,0,0,1,0
8faa051ede93d60e4db6b9c11fdde0f4,0,29,0,25,30,29,30,0,0
908f7f11efb709acac525c03839dc9e5,0,0,1,0,0,0,0,0,0
90e02a26204ade7771acf7e8521bdf09,0,0,1,0,0,0,0,0,0
91e1bde3637f0c47e8fda7d3a91810f9,0,0,1,0,0,0,0,0,0
91ebb3f4a05ceb96ab3f93e02e6569c5,0,0,2,0,0,0,0,0,0
92102d1ed45284d6cdc77426293cd66b,0,0,1,0,0,0,0,0,0
92d4f3757988ee31538b104b9a6c2b10,0,0,1,0,0,0,0,0,0
92ee0faa9b0f755f2701e78982c1e68f,0,0,1,0,0,0,0,0,0
938bace2835767e1dc93a11a96a7a2fd,0,0,1,0,0,0,0,0,0
93c2dac7b10bfa7d5c846693ff1d8aaa,0,30,0,26,30,30,30,30,0
943e1b889af42988f4f2bc5ac75dc695,0,0,1,0,0,0,0,0,0
9459490c93b0aa1ba5218510e365eba4,0,0,2,0,0,0,0,0,0
946bd207ea99d317a0d406dd8c943d62,0,0,1,0,0,0,0,0,0
94a0cd3ebcc25f5ca842f10489173e66,0,0,1,0,0,0,0,0,0
95de88f61ce23c22e123502417c36180,0,0,1,0,0,0,0,0,0
95efa15549414cdef7872e53b54d7042,0,0,1,0,0,0,0,0,0
95fc53f82f1aa2c643d0f591ed1ea32c,0,0,1,0,0,0,0,0,0
